abandonment	abandon
abasement	abase
abashment	abash
abatement	abate
abbreviation	abbreviate
abdication	abdicate
abducent	abduce
abduction	abduct
aberration	aberrate
abetment	abet
abhorrence	abhor
abidance	abide
abirritation	abirritate
abjuration	abjure
ablation	ablate
abnegation	abnegate
abolishment	abolish
abomination	abominate
abortion	abort
abundance	abound
about-face	about-face
abrasiveness	abrade	abrase
abreaction	abreact
abridgement	abridge
abrogation	abrogate
abscission	abscise
abscondment	abscond
absenteeism	absent
absoluteness	absolve
absorptivity	absorb
abstinence	abstain
abstractness	abstract
abuser	abuse
abutment	abut
abies	aby
ace	ace
accedence	accede
acceleration	accelerate
accentuation	accent	accentuate
acceptableness	accept
accessibility	access	accession
acclamation	acclaim
acclimation	acclimate
acclimatization	acclimatise	acclimatize
accommodation	accommodate
accompaniment	accompany
accomplishment	accomplish
accordance	accord
accountability	account
accouterment	accouter
accoutrement	accoutre
accreditation	accredit
accretion	accrete
accruement	accrue
acculturation	acculturate
accumulation	accumulate
accusative	accuse
acerbation	acerbate
acetification	acetify
acetylation	acetylate	acetylize
aching	ache
achievability	achieve
achromatization	achromatise	achromatize
acidification	acidify
acidulousness	acidulate
acieration	acierate
acknowledgement	acknowledge
acquaintance	acquaint
acquiescence	acquiesce
acquisitiveness	acquire
acquittance	acquit
actress	act
activeness	activate
actualization	actualise	actualize
actuation	actuate
acumination	acuminate
adaptability	adapt
additive	add
addiction	addict
addressee	address
adduction	adduce	adduct
adhesiveness	adhere
adhibition	adhibit
adjournment	adjourn
adjudgment	adjudge
adjudication	adjudicate
adjuration	adjure
adjustment	adjust
admeasurement	admeasure
administration	administer	administrate
administeration	administerate
admirableness	admire
admissibility	admit
admixture	admix
admonishment	admonish
adoption	adopt
adorableness	adore
adornment	adorn
adsorption	adsorb
adulation	adulate
adulteration	adulterate
adumbration	adumbrate
advancement	advance
advantageousness	advantage
adventurousness	adventure
advertizing	advert	advertize
advertisement	advertise
advisability	advise
advocation	advocate
aeration	aerate
aerification	aerify
aerosol	aerosolize
aestivation	aestivate
affectionateness	affect
affiliation	affiliate
affirmativeness	affirm
affixation	affix
affliction	afflict
afforestation	afforest
affranchisement	affranchise
affright	affright
affront	affront
africanization	africanise	africanize
afrikanerization	afrikanerise	afrikanerize
ageing	age
agglomeration	agglomerate
agglutination	agglutinate
aggradation	aggrade
aggrandizement	aggrandise	aggrandize
aggravation	aggravate
aggregation	aggregate
aggressiveness	aggress
aggrievement	aggrieve
agitation	agitate
agnation	agnate
agonization	agonize
agonisation	agonise
agreement	agree
aides	aid
ailment	ail
aim	aim
air-conditioning	air-condition
airship	air
airbrush	airbrush
airlift	airlift
airmail	airmail
alarmist	alarm
alchemization	alchemize
alcoholization	alcoholize	alcoholise
alertness	alert
alibi	alibi
alienation	alien	alienate
alignment	align
alimentation	aliment
alinement	aline
alkalinization	alkalinize
alkalizer	alkalize
alkalification	alkalify
allegement	allege
allegorization	allegorize	allegorise
alleviation	alleviate
alligator	alligator
alliteration	alliterate
allocation	allocate
allotment	allot
allowance	allow	allowance
alloy	alloy
allusiveness	allude
allurement	allure
alliance	ally
alphabetization	alphabetise	alphabetize
alterability	alter
altercation	altercate
alternative	alternate
aluminization	aluminize
amalgamation	amalgamate
amassment	amass
amazement	amaze
ambition	ambition
amble	amble
ambulation	ambulate
ambuscade	ambuscade
ambush	ambush
amelioration	ameliorate
amendment	amend
